intent,patterns,bot_response
loitering,Q805: Groups gathering in restricted areas may be dispersed by barangay tanods.,Groups gathering in restricted areas may be dispersed by barangay tanods.
community_service,Q806: Offenders may be required to join clean-up drives.,Barangay promotes community volunteerism.
curfew,Q807: Minors must stay indoors during curfew (10 PM - 4 AM).,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
alcohol_regulation,Q808: Residents must follow restrictions on alcohol to avoid penalties.,Residents must follow restrictions on alcohol to avoid penalties.
permits,Q809: Business permits are processed through the barangay before city hall.,Barangay permits are required for public events.
waste_management,"Q810: Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday.",Residents must segregate biodegradable and non-biodegradable waste.
curfew,Q811: Minors must stay indoors during curfew (10 PM - 4 AM).,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
permits,Q812: Barangay permits are required for public events.,Applicants must secure barangay approval before construction projects.
drugs,Q813: Residents are encouraged to report drug-related activities.,Barangay Buhangin supports anti-illegal drugs campaigns.
permits,Q814: Barangay permits are required for public events.,Barangay permits are required for public events.
waste_management,Q815: Residents must segregate biodegradable and non-biodegradable waste.,Improper waste disposal may lead to fines.
loitering,Q816: Loitering in public areas during curfew is prohibited.,Loitering in public areas during curfew is prohibited.
community_service,Q817: Offenders may be required to join clean-up drives.,Offenders may be required to join clean-up drives.
community_service,Q818: Community service may be given as penalty for minor offenses.,Offenders may be required to join clean-up drives.
permits,Q819: Barangay permits are required for public events.,Applicants must secure barangay approval before construction projects.
community_service,Q820: Community service may be given as penalty for minor offenses.,Community service may be given as penalty for minor offenses.
barangay_clearance,Q821: Requirements for clearance include valid ID and barangay residency.,Barangay clearance can be requested at the Barangay Hall during office hours.
waste_management,Q822: Residents must segregate biodegradable and non-biodegradable waste.,Residents must segregate biodegradable and non-biodegradable waste.
waste_management,Q823: Improper waste disposal may lead to fines.,Residents must segregate biodegradable and non-biodegradable waste.
community_service,Q824: Offenders may be required to join clean-up drives.,Community service may be given as penalty for minor offenses.
alcohol_regulation,Q825: Residents must follow restrictions on alcohol to avoid penalties.,Residents must follow restrictions on alcohol to avoid penalties.
loitering,Q826: Groups gathering in restricted areas may be dispersed by barangay tanods.,Groups gathering in restricted areas may be dispersed by barangay tanods.
loitering,Q827: Loitering in public areas during curfew is prohibited.,Loitering in public areas during curfew is prohibited.
barangay_clearance,Q828: Requirements for clearance include valid ID and barangay residency.,Clearance is needed for job applications and legal documents.
alcohol_regulation,Q829: Residents must follow restrictions on alcohol to avoid penalties.,Alcohol selling is prohibited after 10:00 PM.
alcohol_regulation,Q830: Liquor ban applies during fiestas and election periods.,Residents must follow restrictions on alcohol to avoid penalties.
loitering,Q831: Loitering rules are enforced for minors and late-night gatherings.,Groups gathering in restricted areas may be dispersed by barangay tanods.
drugs,Q832: Residents are encouraged to report drug-related activities.,Barangay Buhangin supports anti-illegal drugs campaigns.
waste_management,"Q833: Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday.",Improper waste disposal may lead to fines.
drugs,Q834: Residents are encouraged to report drug-related activities.,Illegal drug possession and use are punishable by law.
violence,Q835: Barangay strictly prohibits domestic violence and physical assault.,Violent behavior will be reported to barangay officials and police.
drugs,Q836: Barangay Buhangin supports anti-illegal drugs campaigns.,Barangay Buhangin supports anti-illegal drugs campaigns.
community_service,Q837: Community service may be given as penalty for minor offenses.,Offenders may be required to join clean-up drives.
permits,Q838: Barangay permits are required for public events.,Applicants must secure barangay approval before construction projects.
barangay_clearance,Q839: Requirements for clearance include valid ID and barangay residency.,Barangay clearance can be requested at the Barangay Hall during office hours.
curfew,Q840: The barangay enforces curfew to ensure peace and order at night.,The barangay enforces curfew to ensure peace and order at night.
curfew,Q841: Minors must stay indoors during curfew (10 PM - 4 AM).,Minors must stay indoors during curfew (10 PM - 4 AM).
noise_control,Q842: Unnecessary loud sound at night may lead to barangay sanctions.,Loud noise is prohibited after 9:00 PM in residential areas.
curfew,Q843: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
violence,Q844: Violent behavior will be reported to barangay officials and police.,Violent behavior will be reported to barangay officials and police.
drugs,Q845: Illegal drug possession and use are punishable by law.,Barangay Buhangin supports anti-illegal drugs campaigns.
alcohol_regulation,Q846: Alcohol selling is prohibited after 10:00 PM.,Residents must follow restrictions on alcohol to avoid penalties.
noise_control,Q847: Loud noise is prohibited after 9:00 PM in residential areas.,Unnecessary loud sound at night may lead to barangay sanctions.
violence,Q848: Barangay encourages peaceful resolution of disputes.,Barangay encourages peaceful resolution of disputes.
drugs,Q849: Barangay Buhangin supports anti-illegal drugs campaigns.,Illegal drug possession and use are punishable by law.
alcohol_regulation,Q850: Residents must follow restrictions on alcohol to avoid penalties.,Liquor ban applies during fiestas and election periods.
curfew,Q851: The barangay enforces curfew to ensure peace and order at night.,The barangay enforces curfew to ensure peace and order at night.
noise_control,Q852: Unnecessary loud sound at night may lead to barangay sanctions.,Unnecessary loud sound at night may lead to barangay sanctions.
loitering,Q853: Groups gathering in restricted areas may be dispersed by barangay tanods.,Groups gathering in restricted areas may be dispersed by barangay tanods.
drugs,Q854: Barangay Buhangin supports anti-illegal drugs campaigns.,Residents are encouraged to report drug-related activities.
permits,Q855: Business permits are processed through the barangay before city hall.,Business permits are processed through the barangay before city hall.
curfew,Q856: Minors must stay indoors during curfew (10 PM - 4 AM).,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
permits,Q857: Applicants must secure barangay approval before construction projects.,Business permits are processed through the barangay before city hall.
alcohol_regulation,Q858: Liquor ban applies during fiestas and election periods.,Liquor ban applies during fiestas and election periods.
drugs,Q859: Barangay Buhangin supports anti-illegal drugs campaigns.,Barangay Buhangin supports anti-illegal drugs campaigns.
drugs,Q860: Residents are encouraged to report drug-related activities.,Illegal drug possession and use are punishable by law.
drugs,Q861: Illegal drug possession and use are punishable by law.,Barangay Buhangin supports anti-illegal drugs campaigns.
noise_control,Q862: Barangay noise ordinance requires lowering volume at night.,Unnecessary loud sound at night may lead to barangay sanctions.
permits,Q863: Applicants must secure barangay approval before construction projects.,Business permits are processed through the barangay before city hall.
loitering,Q864: Loitering rules are enforced for minors and late-night gatherings.,Groups gathering in restricted areas may be dispersed by barangay tanods.
violence,Q865: Barangay encourages peaceful resolution of disputes.,Barangay encourages peaceful resolution of disputes.
community_service,Q866: Community service may be given as penalty for minor offenses.,Offenders may be required to join clean-up drives.
alcohol_regulation,Q867: Alcohol selling is prohibited after 10:00 PM.,Alcohol selling is prohibited after 10:00 PM.
community_service,Q868: Barangay promotes community volunteerism.,Barangay promotes community volunteerism.
alcohol_regulation,Q869: Liquor ban applies during fiestas and election periods.,Residents must follow restrictions on alcohol to avoid penalties.
permits,Q870: Applicants must secure barangay approval before construction projects.,Business permits are processed through the barangay before city hall.
noise_control,Q871: Barangay noise ordinance requires lowering volume at night.,Loud noise is prohibited after 9:00 PM in residential areas.
loitering,Q872: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering rules are enforced for minors and late-night gatherings.
barangay_clearance,Q873: Barangay clearance can be requested at the Barangay Hall during office hours.,Requirements for clearance include valid ID and barangay residency.
curfew,Q874: Minors must stay indoors during curfew (10 PM - 4 AM).,The barangay enforces curfew to ensure peace and order at night.
noise_control,Q875: Barangay noise ordinance requires lowering volume at night.,Unnecessary loud sound at night may lead to barangay sanctions.
waste_management,"Q876: Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday.",Improper waste disposal may lead to fines.
barangay_clearance,Q877: Requirements for clearance include valid ID and barangay residency.,Requirements for clearance include valid ID and barangay residency.
permits,Q878: Business permits are processed through the barangay before city hall.,Applicants must secure barangay approval before construction projects.
alcohol_regulation,Q879: Alcohol selling is prohibited after 10:00 PM.,Residents must follow restrictions on alcohol to avoid penalties.
permits,Q880: Applicants must secure barangay approval before construction projects.,Business permits are processed through the barangay before city hall.
loitering,Q881: Loitering in public areas during curfew is prohibited.,Groups gathering in restricted areas may be dispersed by barangay tanods.
violence,Q882: Barangay encourages peaceful resolution of disputes.,Violent behavior will be reported to barangay officials and police.
noise_control,Q883: Barangay noise ordinance requires lowering volume at night.,Barangay noise ordinance requires lowering volume at night.
violence,Q884: Barangay encourages peaceful resolution of disputes.,Barangay encourages peaceful resolution of disputes.
drugs,Q885: Residents are encouraged to report drug-related activities.,Residents are encouraged to report drug-related activities.
alcohol_regulation,Q886: Alcohol selling is prohibited after 10:00 PM.,Liquor ban applies during fiestas and election periods.
loitering,Q887: Loitering in public areas during curfew is prohibited.,Loitering rules are enforced for minors and late-night gatherings.
loitering,Q888: Loitering in public areas during curfew is prohibited.,Loitering rules are enforced for minors and late-night gatherings.
permits,Q889: Applicants must secure barangay approval before construction projects.,Barangay permits are required for public events.
permits,Q890: Barangay permits are required for public events.,Barangay permits are required for public events.
curfew,Q891: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Minors must stay indoors during curfew (10 PM - 4 AM).
permits,Q892: Barangay permits are required for public events.,Business permits are processed through the barangay before city hall.
waste_management,Q893: Residents must segregate biodegradable and non-biodegradable waste.,Residents must segregate biodegradable and non-biodegradable waste.
waste_management,"Q894: Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday.","Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
community_service,Q895: Offenders may be required to join clean-up drives.,Community service may be given as penalty for minor offenses.
violence,Q896: Violent behavior will be reported to barangay officials and police.,Barangay strictly prohibits domestic violence and physical assault.
noise_control,Q897: Barangay noise ordinance requires lowering volume at night.,Barangay noise ordinance requires lowering volume at night.
noise_control,Q898: Barangay noise ordinance requires lowering volume at night.,Loud noise is prohibited after 9:00 PM in residential areas.
loitering,Q899: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering rules are enforced for minors and late-night gatherings.
curfew,Q900: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Minors must stay indoors during curfew (10 PM - 4 AM).
curfew,Q901: Minors must stay indoors during curfew (10 PM - 4 AM).,Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.
community_service,Q902: Barangay promotes community volunteerism.,Barangay promotes community volunteerism.
violence,Q903: Barangay strictly prohibits domestic violence and physical assault.,Barangay encourages peaceful resolution of disputes.
barangay_clearance,Q904: Barangay clearance can be requested at the Barangay Hall during office hours.,Requirements for clearance include valid ID and barangay residency.
permits,Q905: Business permits are processed through the barangay before city hall.,Barangay permits are required for public events.
drugs,Q906: Residents are encouraged to report drug-related activities.,Barangay Buhangin supports anti-illegal drugs campaigns.
permits,Q907: Barangay permits are required for public events.,Business permits are processed through the barangay before city hall.
drugs,Q908: Illegal drug possession and use are punishable by law.,Residents are encouraged to report drug-related activities.
waste_management,Q909: Improper waste disposal may lead to fines.,Improper waste disposal may lead to fines.
loitering,Q910: Loitering in public areas during curfew is prohibited.,Loitering rules are enforced for minors and late-night gatherings.
loitering,Q911: Loitering in public areas during curfew is prohibited.,Loitering in public areas during curfew is prohibited.
waste_management,Q912: Improper waste disposal may lead to fines.,Improper waste disposal may lead to fines.
barangay_clearance,Q913: Requirements for clearance include valid ID and barangay residency.,Clearance is needed for job applications and legal documents.
violence,Q914: Barangay encourages peaceful resolution of disputes.,Barangay encourages peaceful resolution of disputes.
barangay_clearance,Q915: Clearance is needed for job applications and legal documents.,Barangay clearance can be requested at the Barangay Hall during office hours.
noise_control,Q916: Unnecessary loud sound at night may lead to barangay sanctions.,Loud noise is prohibited after 9:00 PM in residential areas.
community_service,Q917: Community service may be given as penalty for minor offenses.,Barangay promotes community volunteerism.
curfew,Q918: The barangay enforces curfew to ensure peace and order at night.,Minors must stay indoors during curfew (10 PM - 4 AM).
noise_control,Q919: Unnecessary loud sound at night may lead to barangay sanctions.,Loud noise is prohibited after 9:00 PM in residential areas.
permits,Q920: Applicants must secure barangay approval before construction projects.,Barangay permits are required for public events.
permits,Q921: Barangay permits are required for public events.,Business permits are processed through the barangay before city hall.
waste_management,Q922: Improper waste disposal may lead to fines.,Improper waste disposal may lead to fines.
drugs,Q923: Illegal drug possession and use are punishable by law.,Barangay Buhangin supports anti-illegal drugs campaigns.
community_service,Q924: Community service may be given as penalty for minor offenses.,Barangay promotes community volunteerism.
waste_management,Q925: Residents must segregate biodegradable and non-biodegradable waste.,Residents must segregate biodegradable and non-biodegradable waste.
community_service,Q926: Offenders may be required to join clean-up drives.,Offenders may be required to join clean-up drives.
loitering,Q927: Loitering in public areas during curfew is prohibited.,Groups gathering in restricted areas may be dispersed by barangay tanods.
permits,Q928: Applicants must secure barangay approval before construction projects.,Business permits are processed through the barangay before city hall.
violence,Q929: Barangay encourages peaceful resolution of disputes.,Barangay encourages peaceful resolution of disputes.
curfew,Q930: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,Minors must stay indoors during curfew (10 PM - 4 AM).
noise_control,Q931: Barangay noise ordinance requires lowering volume at night.,Barangay noise ordinance requires lowering volume at night.
curfew,Q932: Minors must stay indoors during curfew (10 PM - 4 AM).,Minors must stay indoors during curfew (10 PM - 4 AM).
loitering,Q933: Loitering in public areas during curfew is prohibited.,Loitering rules are enforced for minors and late-night gatherings.
violence,Q934: Violent behavior will be reported to barangay officials and police.,Barangay encourages peaceful resolution of disputes.
barangay_clearance,Q935: Requirements for clearance include valid ID and barangay residency.,Clearance is needed for job applications and legal documents.
community_service,Q936: Community service may be given as penalty for minor offenses.,Community service may be given as penalty for minor offenses.
permits,Q937: Barangay permits are required for public events.,Business permits are processed through the barangay before city hall.
waste_management,Q938: Residents must segregate biodegradable and non-biodegradable waste.,Improper waste disposal may lead to fines.
noise_control,Q939: Barangay noise ordinance requires lowering volume at night.,Unnecessary loud sound at night may lead to barangay sanctions.
noise_control,Q940: Unnecessary loud sound at night may lead to barangay sanctions.,Loud noise is prohibited after 9:00 PM in residential areas.
community_service,Q941: Barangay promotes community volunteerism.,Offenders may be required to join clean-up drives.
noise_control,Q942: Barangay noise ordinance requires lowering volume at night.,Loud noise is prohibited after 9:00 PM in residential areas.
waste_management,"Q943: Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday.",Residents must segregate biodegradable and non-biodegradable waste.
alcohol_regulation,Q944: Residents must follow restrictions on alcohol to avoid penalties.,Liquor ban applies during fiestas and election periods.
permits,Q945: Applicants must secure barangay approval before construction projects.,Applicants must secure barangay approval before construction projects.
alcohol_regulation,Q946: Alcohol selling is prohibited after 10:00 PM.,Liquor ban applies during fiestas and election periods.
drugs,Q947: Residents are encouraged to report drug-related activities.,Illegal drug possession and use are punishable by law.
barangay_clearance,Q948: Requirements for clearance include valid ID and barangay residency.,Requirements for clearance include valid ID and barangay residency.
barangay_clearance,Q949: Barangay clearance can be requested at the Barangay Hall during office hours.,Requirements for clearance include valid ID and barangay residency.
community_service,Q950: Barangay promotes community volunteerism.,Barangay promotes community volunteerism.
waste_management,Q951: Residents must segregate biodegradable and non-biodegradable waste.,"Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday."
loitering,Q952: Loitering rules are enforced for minors and late-night gatherings.,Groups gathering in restricted areas may be dispersed by barangay tanods.
noise_control,Q953: Unnecessary loud sound at night may lead to barangay sanctions.,Loud noise is prohibited after 9:00 PM in residential areas.
noise_control,Q954: Unnecessary loud sound at night may lead to barangay sanctions.,Loud noise is prohibited after 9:00 PM in residential areas.
community_service,Q955: Community service may be given as penalty for minor offenses.,Barangay promotes community volunteerism.
noise_control,Q956: Loud noise is prohibited after 9:00 PM in residential areas.,Loud noise is prohibited after 9:00 PM in residential areas.
curfew,Q957: Curfew hours in Barangay Buhangin are from 10:00 PM to 4:00 AM.,The barangay enforces curfew to ensure peace and order at night.
violence,Q958: Barangay encourages peaceful resolution of disputes.,Barangay encourages peaceful resolution of disputes.
alcohol_regulation,Q959: Alcohol selling is prohibited after 10:00 PM.,Liquor ban applies during fiestas and election periods.
noise_control,Q960: Unnecessary loud sound at night may lead to barangay sanctions.,Unnecessary loud sound at night may lead to barangay sanctions.
drugs,Q961: Barangay Buhangin supports anti-illegal drugs campaigns.,Barangay Buhangin supports anti-illegal drugs campaigns.
community_service,Q962: Community service may be given as penalty for minor offenses.,Barangay promotes community volunteerism.
barangay_clearance,Q963: Clearance is needed for job applications and legal documents.,Barangay clearance can be requested at the Barangay Hall during office hours.
community_service,Q964: Offenders may be required to join clean-up drives.,Community service may be given as penalty for minor offenses.
loitering,Q965: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering in public areas during curfew is prohibited.
loitering,Q966: Loitering rules are enforced for minors and late-night gatherings.,Loitering in public areas during curfew is prohibited.
drugs,Q967: Illegal drug possession and use are punishable by law.,Barangay Buhangin supports anti-illegal drugs campaigns.
barangay_clearance,Q968: Barangay clearance can be requested at the Barangay Hall during office hours.,Barangay clearance can be requested at the Barangay Hall during office hours.
barangay_clearance,Q969: Clearance is needed for job applications and legal documents.,Clearance is needed for job applications and legal documents.
drugs,Q970: Barangay Buhangin supports anti-illegal drugs campaigns.,Residents are encouraged to report drug-related activities.
drugs,Q971: Barangay Buhangin supports anti-illegal drugs campaigns.,Residents are encouraged to report drug-related activities.
noise_control,Q972: Loud noise is prohibited after 9:00 PM in residential areas.,Loud noise is prohibited after 9:00 PM in residential areas.
loitering,Q973: Groups gathering in restricted areas may be dispersed by barangay tanods.,Loitering rules are enforced for minors and late-night gatherings.
noise_control,Q974: Loud noise is prohibited after 9:00 PM in residential areas.,Unnecessary loud sound at night may lead to barangay sanctions.
drugs,Q975: Illegal drug possession and use are punishable by law.,Barangay Buhangin supports anti-illegal drugs campaigns.
noise_control,Q976: Unnecessary loud sound at night may lead to barangay sanctions.,Loud noise is prohibited after 9:00 PM in residential areas.
waste_management,"Q977: Garbage collection in Barangay Buhangin is every Monday, Wednesday, and Friday.",Residents must segregate biodegradable and non-biodegradable waste.
barangay_clearance,Q978: Clearance is needed for job applications and legal documents.,Barangay clearance can be requested at the Barangay Hall during office hours.
alcohol_regulation,Q979: Liquor ban applies during fiestas and election periods.,Residents must follow restrictions on alcohol to avoid penalties.
waste_management,Q980: Improper waste disposal may lead to fines.,Improper waste disposal may lead to fines.
noise_control,Q981: Loud noise is prohibited after 9:00 PM in residential areas.,Barangay noise ordinance requires lowering volume at night.
drugs,Q982: Barangay Buhangin supports anti-illegal drugs campaigns.,Residents are encouraged to report drug-related activities.
barangay_clearance,Q983: Clearance is needed for job applications and legal documents.,Clearance is needed for job applications and legal documents.
noise_control,Q984: Barangay noise ordinance requires lowering volume at night.,Unnecessary loud sound at night may lead to barangay sanctions.
noise_control,Q985: Barangay noise ordinance requires lowering volume at night.,Unnecessary loud sound at night may lead to barangay sanctions.
community_service,Q986: Community service may be given as penalty for minor offenses.,Barangay promotes community volunteerism.
violence,Q987: Barangay strictly prohibits domestic violence and physical assault.,Barangay encourages peaceful resolution of disputes.
drugs,Q988: Barangay Buhangin supports anti-illegal drugs campaigns.,Residents are encouraged to report drug-related activities.
curfew,Q989: Minors must stay indoors during curfew (10 PM - 4 AM).,Minors must stay indoors during curfew (10 PM - 4 AM).
noise_control,Q990: Unnecessary loud sound at night may lead to barangay sanctions.,Barangay noise ordinance requires lowering volume at night.
loitering,Q991: Loitering in public areas during curfew is prohibited.,Loitering in public areas during curfew is prohibited.
barangay_clearance,Q992: Barangay clearance can be requested at the Barangay Hall during office hours.,Requirements for clearance include valid ID and barangay residency.
curfew,Q993: Minors must stay indoors during curfew (10 PM - 4 AM).,The barangay enforces curfew to ensure peace and order at night.
barangay_clearance,Q994: Clearance is needed for job applications and legal documents.,Clearance is needed for job applications and legal documents.
noise_control,Q995: Unnecessary loud sound at night may lead to barangay sanctions.,Barangay noise ordinance requires lowering volume at night.
drugs,Q996: Residents are encouraged to report drug-related activities.,Barangay Buhangin supports anti-illegal drugs campaigns.
permits,Q997: Business permits are processed through the barangay before city hall.,Applicants must secure barangay approval before construction projects.
drugs,Q998: Barangay Buhangin supports anti-illegal drugs campaigns.,Residents are encouraged to report drug-related activities.
violence,Q999: Barangay strictly prohibits domestic violence and physical assault.,Violent behavior will be reported to barangay officials and police.
community_service,Q1000: Community service may be given as penalty for minor offenses.,Barangay promotes community volunteerism.
